EPISODE_ID,BEGIN_DATE,END_DATE,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO
63078,2012-05-04 20:30:00,2012-05-04 21:01:00,1.25,0,0,0,0,0,0,0,0
32114,2009-07-10 15:15:00,2009-07-10 15:15:00,0,0,0,0,0,0,0,0,3
85736,2014-06-04 14:15:00,2014-06-04 18:30:00,0.88,0,3,0,0,0,0,0,0
1205762,2006-03-12 14:00:00,2006-03-25 18:00:00,0,0,2,0,0,0,0,0,0
1205760,2006-03-11 12:00:00,2006-03-26 15:00:00,0,0,2,0,0,0,0,0,0
6345,2007-05-15 08:00:00,2007-05-15 20:37:00,0,0,0,0,0,0,0,0,3
90902,2014-09-20 13:50:00,2014-09-21 00:25:00,0.88,0,0,0,0,0,0,0,3
56061,2011-08-09 14:10:00,2011-08-09 17:15:00,1.0,0,0,0,0,0,0,0,3
97274,2015-08-04 18:25:00,2015-08-04 18:40:00,0,0,0,0,0,0,0,0,3
87359,2014-06-17 19:06:00,2014-06-17 20:12:00,1.75,0,0,0,0,0,0,0,0
101867,2015-12-27 23:00:00,2015-12-31 23:59:00,0,0,2,0,0,0,0,0,0
5470,2007-07-04 15:48:00,2007-07-04 15:48:00,0.75,0,0,0,0,0,0,0,0
63418,2012-05-04 13:50:00,2012-05-04 21:16:00,0.88,0,0,0,0,0,0,0,3
63789,2012-05-31 14:02:00,2012-05-31 14:54:00,1.0,0,1,0,0,0,0,0,3
1802,2006-12-22 09:27:00,2006-12-31 23:59:00,0,0,2,0,0,0,0,0,0
51146,2011-04-09 09:05:00,2011-04-09 10:29:00,1.0,0,0,0,0,0,0,0,3
1184629,2005-01-12 03:54:00,2005-01-12 07:45:00,0,0,3,0,0,0,0,0,0
48336,2011-02-26 08:00:00,2011-02-28 23:59:00,0,0,2,0,0,0,0,0,0
1183676,2005-01-03 00:00:00,2005-01-31 23:59:00,0,0,2,0,0,0,0,0,0
1183675,2005-01-18 06:28:00,2005-01-18 11:00:00,0,0,3,0,0,0,0,0,0
1183674,2005-01-17 04:49:00,2005-01-17 11:00:00,0,0,3,0,0,0,0,0,0
1183673,2005-01-15 18:30:00,2005-01-15 22:00:00,0,0,3,0,0,0,0,0,0
1183672,2005-01-09 03:03:00,2005-01-12 13:00:00,0,0,3,0,0,0,0,0,0
90125,2014-09-10 20:45:00,2014-09-10 22:00:00,0,0,1,0,0,0,0,0,0
54211,2011-06-20 01:00:00,2011-06-20 12:00:00,1.75,0,3,0,0,0,0,0,3
54210,2011-06-19 06:13:00,2011-06-19 06:13:00,0,0,0,0,0,0,0,0,3
54213,2011-06-26 01:00:00,2011-06-26 04:30:00,0,0,3,0,0,0,0,0,0
1196285,2005-07-20 21:15:00,2005-07-20 23:45:00,0,0,0,0,0,0,0,0,3
1196286,2005-07-21 15:10:00,2005-07-21 22:51:00,1.0,0,0,0,0,0,0,0,3
1196281,2005-07-18 15:25:00,2005-07-18 16:23:00,0,0,0,0,0,0,0,0,3
1196283,2005-07-20 16:45:00,2005-07-20 17:00:00,0,0,0,0,0,0,0,0,3
39718,2010-06-11 10:00:00,2010-06-11 10:00:00,0,0,0,0,0,0,0,0,3
54694,2011-06-15 09:45:00,2011-06-15 17:04:00,0.75,0,0,0,0,0,0,0,0
95747,2015-06-30 16:10:00,2015-06-30 19:10:00,1.5,0,3,0,0,0,0,0,3
95741,2015-06-25 23:05:00,2015-06-26 17:43:00,1.75,0,3,0,0,0,0,0,3
68941,2012-09-21 17:15:00,2012-09-21 19:31:00,1.75,0,0,0,0,0,0,0,3
90725,2014-11-24 10:13:00,2014-11-24 19:00:00,0,0,2,0,0,0,0,0,2
1205786,2006-03-09 14:00:00,2006-03-09 17:00:00,0,0,3,0,0,0,0,0,0
1205787,2006-03-09 14:00:00,2006-03-09 17:00:00,0,0,3,0,0,0,0,0,0
59807,2012-01-19 10:30:00,2012-01-31 23:59:00,0,0,2,0,0,0,0,0,0
1205788,2006-03-09 14:03:00,2006-03-09 17:00:00,0,0,3,0,0,0,0,0,0
1205789,2006-03-09 14:20:00,2006-03-09 17:00:00,0,0,3,0,0,0,0,0,0
59800,2012-01-01 00:00:00,2012-01-01 12:00:00,0,0,2,0,0,0,0,0,0
12932,2007-12-23 03:03:00,2007-12-23 06:01:00,0,0,0,0,0,0,0,0,3
