,EPISODE_ID,BEGIN_DATE,DURACION,END_DATE,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO,ACCIDENTES
798,1208090,2006-04-07 14:23:00,3.83333333333,2006-04-07 18:13:00,1.75,39.2721428571,3,-85.02,0,96.4225264204,0,0,3,0
799,73191,2013-05-03 16:18:00,0.6,2013-05-03 16:54:00,0.88,41.0411,0,-87.2954,0,28.0428600519,0,0,0,0
800,1206696,2006-04-14 13:42:00,0.95,2006-04-14 14:39:00,1.0,40.8391666667,0,-85.4966666667,0,74.7861574226,0,0,3,0
801,11420,2007-10-18 17:56:00,1.66666666667,2007-10-18 19:36:00,1.0,41.0792,0,-87.27,0,91.6537142156,0,1,3,0
802,1191371,2005-06-28 02:15:00,15.6833333333,2005-06-28 17:56:00,1.0,40.1475,3,-85.934375,0,146.695743227,0,0,3,0
803,50462,2011-04-04 03:20:00,19.6666666667,2011-04-04 23:00:00,0,40.1905666667,2,-86.74975,0,113.016618368,0,0,3,1
804,1191373,2005-06-30 17:25:00,4.38333333333,2005-06-30 21:48:00,2.0,39.7704761905,0,-85.7676190476,0,165.811390935,0,0,3,0
805,1191372,2005-06-29 13:20:00,4.1,2005-06-29 17:26:00,1.0,39.6725,0,-86.2975,0,69.1195528053,0,0,3,1
806,57005,2011-08-03 03:30:00,1.15,2011-08-03 04:39:00,0,40.385,0,-86.08,0,24.0694340883,0,0,3,0
807,57006,2011-08-07 13:05:00,1.95,2011-08-07 15:02:00,0.88,40.14642,0,-86.29434,0,82.2107716988,0,0,3,0
808,54988,2011-06-09 07:30:00,3.5,2011-06-09 11:00:00,0,41.3079,3,-87.32925,0,17.9607884916,0,0,0,0
809,17685,2008-06-27 18:20:00,1.55,2008-06-27 19:53:00,0,38.11,1,-87.5311166667,0,64.3502917486,0,0,3,0
810,1184684,2005-01-05 07:15:00,23.75,2005-01-06 07:00:00,0,39.4714285714,3,-85.4571428571,0,292.068907356,0,0,0,0
811,38847,2010-04-05 16:00:00,3.36666666667,2010-04-05 19:22:00,3.25,39.4597222222,1,-86.4008333333,0,110.732322325,0,0,3,0
812,3723,2007-03-23 07:00:00,25.0,2007-03-24 08:00:00,0,40.0866666667,2,-85.9029666667,0,59.735863784,0,0,0,0
813,4687,2007-04-11 15:20:00,3.43333333333,2007-04-11 18:46:00,1.0,39.7888769231,0,-86.4620602564,0,150.729334888,0,2,3,0
814,42714,2010-07-18 11:20:00,0.45,2010-07-18 11:47:00,0,41.6,0,-87.45,0,6.15317865224,0,0,3,0
815,42718,2010-07-23 18:00:00,12.3333333333,2010-07-24 06:20:00,0,41.5799,0,-87.2651,0,12.1630588325,0,0,3,0
816,64537,2012-06-16 15:15:00,3.3,2012-06-16 18:33:00,0,41.0677777778,0,-86.0066666667,0,143.530746816,0,0,3,0
817,53121,2011-05-24 18:04:00,4.36666666667,2011-05-24 22:26:00,1.75,40.6633333333,0,-86.1,0,96.6488148726,0,0,0,0
818,49061,2011-02-28 03:19:00,1.18333333333,2011-02-28 04:30:00,0,38.3694777778,0,-86.3541,0,80.5769265992,0,1,3,0
819,43627,2010-07-24 17:15:00,6.73333333333,2010-07-24 23:59:00,0,41.009775,3,-86.27705,0,67.7105972053,0,0,3,0
820,80271,2013-10-02 14:30:00,4.0,2013-10-02 18:30:00,0,37.98,1,-87.55,0,1.32944756907,0,0,0,0
821,48622,2011-03-05 14:40:00,13.3333333333,2011-03-06 04:00:00,0,39.6963333333,2,-84.9840666667,0,23.8505423464,0,0,0,0
822,96817,2015-06-08 15:24:00,3.6,2015-06-08 19:00:00,1.75,41.2368611111,2,-87.2626888889,0,72.2913056064,0,0,3,0
823,53272,2011-07-12 15:00:00,3.5,2011-07-12 18:30:00,0,38.2477833333,3,-87.3243666667,0,50.7887578534,0,0,3,0
824,33110,2009-08-19 17:45:00,4.75,2009-08-19 22:30:00,0,40.0886,0,-86.9554,0,110.419579574,0,0,3,1
