EPISODE_ID,DURACION,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO,ACCIDENTES,ZONA,CLASE,RIESGO
1205571,16.0,0.0,38.8,2,-85.65,0,2.1328433314,0,0,0,0,11,2,no
1215489,5.66666666667,0.0,41.5133333333,0,-87.28,0,29.95040774,0,0,1,0,0,2,no
26804,16.1333333333,0.0,39.6154833333,0,-86.5446,0,154.578295318,0,2,3,0,7,4,no
7675,4.0,0.0,41.07,3,-87.0404,0,3.24564042347,0,0,0,0,14,1,no
1215485,1.31666666667,0.0,41.53,2,-86.95,0,2.1328433314,0,0,3,0,0,3,no
37177,0.6,0.0,38.24,1,-87.59,0,52.0128019879,0,0,3,0,3,2,no
1208068,4.03333333333,2.0,39.5831707317,0,-86.3269512195,0,186.928585073,0,0,0,0,9,2,no
30529,3.48333333333,0.0,38.2766666667,0,-86.02,0,24.0291379258,0,0,3,0,1,1,si
40960,15.1833333333,0.88,39.81299,3,-86.5035766667,0,153.87823889,0,0,3,0,9,4,si
29814,0.883333333333,0.88,40.5,0,-87.45,0,10.0376409759,0,0,3,0,14,4,no
1177,71.0,0.0,38.77,2,-86.1742,0,6.43736,0,0,0,0,11,2,no
86185,2.33333333333,1.0,41.0314285714,0,-85.6257142857,0,74.5461779909,0,0,3,0,8,1,no
50093,1.08333333333,0.0,39.0683,3,-84.9407833333,0,14.1536306424,0,0,0,0,5,1,no
44295,5.48333333333,0.0,41.4015,3,-84.80735,0,25.6546695381,0,0,0,0,8,4,no
76152,0.383333333333,1.0,39.0367,0,-85.1591,0,13.2355523918,0,0,3,0,5,3,si
76158,1.5,0.0,39.091875,3,-85.017625,0,14.468544513,0,0,0,0,5,1,no
1197292,1.33333333333,0.0,38.3844444444,0,-86.2,0,86.024762949,0,0,3,0,1,1,si
79532,30.0,0.0,38.193075,1,-87.3392,0,55.9018528264,0,0,3,0,3,2,no
34551,7.63333333333,0.0,38.414905,3,-86.220925,0,119.001656063,0,0,0,0,1,4,si
40419,3.66666666667,0.0,38.881971875,3,-86.7084125,0,127.778564493,0,0,3,0,6,2,no
29614,1.76666666667,0.75,40.9866666667,0,-85.4133333333,0,67.9243152548,0,0,3,0,8,1,no
55620,7.38333333333,0.0,40.789525,0,-87.434775,0,7.53041900412,0,1,3,0,14,4,no
3839,79.0,0.0,38.5,2,-87.28,0,2.1328433314,0,0,0,0,3,7,si
23275,70.8333333333,0.0,41.6721,2,-86.453125,0,28.31677774,0,0,0,0,13,1,no
77114,1.8,0.0,39.511,0,-85.10845,0,52.3093866104,0,0,3,0,12,2,no
88497,3.68333333333,1.75,41.2675105263,0,-85.5220368421,0,102.572299205,0,0,3,0,4,1,no
19387,4.6,0.0,39.53309,0,-85.96334,0,156.440752667,0,4,3,1,9,5,si
1209645,0.833333333333,0.0,38.4,0,-86.37,0,36.696091464,0,0,3,0,1,1,si
1210768,3.2,1.75,41.2654166667,0,-85.8266666667,0,156.255867216,0,0,3,0,4,1,no
1210764,24.0333333333,2.0,39.677254902,0,-86.2498039216,0,210.778858115,0,0,3,2,9,5,si
55024,7.13333333333,0.0,41.5410783784,0,-85.7693702703,0,129.442499402,0,0,3,0,4,1,no
19142,4.51666666667,1.75,38.4048,0,-85.9642333333,0,87.4719222653,0,0,3,0,1,1,si
77755,0.533333333333,0.0,39.11254,0,-86.66982,0,95.322771735,0,0,3,0,7,5,si
