EVENT_ID,EPISODE_ID,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
354439,59222,Winter Weather,12-JAN-12 13:00:00,13-JAN-12 08:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354440,59222,Winter Weather,12-JAN-12 13:00:00,13-JAN-12 08:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354441,59222,Winter Weather,12-JAN-12 14:00:00,13-JAN-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
370279,61697,Hail,02-MAR-12 15:58:00,02-MAR-12 16:02:00,0,0,0,0,,,1.75,,38.75,-85.07,38.75,-85.07
357066,59803,Flood,27-JAN-12 13:00:00,31-JAN-12 23:59:00,0,0,0,0,0.00K,0.00K,,,37.9312,-87.3805,37.9414,-87.4027
357078,59807,Flood,24-JAN-12 01:30:00,31-JAN-12 23:59:00,0,0,0,0,2.00K,0.00K,,,38.4,-87.73,38.3837,-87.756
357079,59807,Flood,23-JAN-12 06:00:00,31-JAN-12 23:59:00,0,0,0,0,2.00K,0.00K,,,38.1347,-87.9387,38.1466,-87.925
362957,60761,Winter Storm,20-JAN-12 20:00:00,21-JAN-12 06:00:00,0,0,0,0,,,,,,,,
354443,59222,Winter Weather,12-JAN-12 16:00:00,13-JAN-12 10:00:00,0,0,0,0,0.00K,0.00K,,,,,,
354442,59222,Winter Weather,12-JAN-12 16:00:00,13-JAN-12 10:00:00,0,0,0,0,0.00K,0.00K,,,,,,
357082,59807,Flood,19-JAN-12 10:30:00,31-JAN-12 23:59:00,0,0,0,0,2.00K,0.00K,,,38.5176,-87.273,38.5137,-87.2701
362958,60761,Winter Storm,20-JAN-12 20:00:00,21-JAN-12 06:00:00,0,0,0,0,,,,,,,,
362961,60761,Winter Storm,20-JAN-12 20:00:00,21-JAN-12 06:00:00,0,0,0,0,,,,,,,,
354445,59222,Winter Weather,12-JAN-12 16:00:00,13-JAN-12 10:00:00,0,0,0,0,0.00K,0.00K,,,,,,
412847,68822,Frost/Freeze,11-OCT-12 02:00:00,11-OCT-12 07:00:00,0,0,0,0,0.00K,,,,,,,
412848,68822,Frost/Freeze,11-OCT-12 02:00:00,11-OCT-12 07:00:00,0,0,0,0,0.00K,,,,,,,
362960,60761,Winter Storm,20-JAN-12 20:00:00,21-JAN-12 06:00:00,0,0,0,0,,,,,,,,
362963,60761,Winter Storm,20-JAN-12 20:00:00,21-JAN-12 06:00:00,0,0,0,0,,,,,,,,
