,DAY,DRUNK_DR,FATALS,HOUR,LATITUDE,LONGITUD,MINUTE,MONTH,STATE,YEAR
9965,17.0,0.0,1.0,15.0,37.9735,-87.64609444,14.0,2.0,18.0,2011.0
9966,18.0,0.0,1.0,15.0,99.9999,999.9999,51.0,2.0,18.0,2011.0
9967,20.0,1.0,1.0,7.0,41.60128889,-85.73372778,27.0,2.0,18.0,2011.0
9968,18.0,0.0,1.0,16.0,41.21513056,-86.75954167,51.0,2.0,18.0,2011.0
9969,11.0,1.0,1.0,4.0,39.67176944,-86.19596389,7.0,2.0,18.0,2011.0
9970,8.0,0.0,1.0,20.0,39.50552222,-85.02282778,30.0,2.0,18.0,2011.0
9971,21.0,0.0,1.0,15.0,40.48984722,-86.22898611,48.0,2.0,18.0,2011.0
9972,21.0,0.0,1.0,6.0,41.42776667,-85.42380833,25.0,2.0,18.0,2011.0
9973,18.0,0.0,1.0,13.0,39.69734722,-85.93318056,26.0,1.0,18.0,2011.0
9974,22.0,0.0,1.0,9.0,41.43198056,-85.58770278,22.0,2.0,18.0,2011.0
9975,18.0,0.0,1.0,8.0,37.95516111,-87.86041389,15.0,2.0,18.0,2011.0
9976,19.0,1.0,1.0,3.0,41.57421389,-87.51422222,55.0,2.0,18.0,2011.0
9977,22.0,0.0,1.0,22.0,41.10948889,-87.26562222,7.0,2.0,18.0,2011.0
9978,24.0,0.0,1.0,18.0,41.12530278,-85.23448889,11.0,2.0,18.0,2011.0
9979,27.0,1.0,1.0,20.0,40.38948056,-86.90760278,35.0,2.0,18.0,2011.0
9980,26.0,0.0,1.0,6.0,40.14251667,-86.52735556,50.0,2.0,18.0,2011.0
9981,23.0,0.0,1.0,6.0,38.03558611,-87.64103056,23.0,2.0,18.0,2011.0
9982,28.0,0.0,1.0,7.0,99.9999,999.9999,49.0,2.0,18.0,2011.0
9983,26.0,0.0,1.0,9.0,39.28046944,-86.52274167,32.0,2.0,18.0,2011.0
9984,25.0,0.0,1.0,18.0,39.89090556,-86.2601,1.0,2.0,18.0,2011.0
9985,17.0,0.0,1.0,23.0,39.44871944,-87.3977,57.0,1.0,18.0,2011.0
9986,23.0,0.0,1.0,14.0,41.74861389,-85.35329722,20.0,2.0,18.0,2011.0
9987,25.0,1.0,1.0,1.0,38.791825,-85.8191,24.0,2.0,18.0,2011.0
9988,25.0,0.0,1.0,9.0,39.21998611,-85.57542778,3.0,2.0,18.0,2011.0
9989,27.0,1.0,1.0,4.0,40.09868889,-86.13753333,9.0,2.0,18.0,2011.0
9990,18.0,0.0,1.0,23.0,38.23949444,-86.14856111,19.0,2.0,18.0,2011.0
9991,5.0,0.0,1.0,0.0,41.7048,-85.87128611,10.0,3.0,18.0,2011.0
9992,6.0,0.0,2.0,20.0,38.23369722,-86.500725,40.0,3.0,18.0,2011.0
9993,8.0,1.0,1.0,3.0,38.19987778,-85.89703611,0.0,3.0,18.0,2011.0
9994,1.0,0.0,1.0,5.0,39.60251389,-86.06440556,53.0,3.0,18.0,2011.0
9995,3.0,1.0,1.0,23.0,38.48329167,-86.00312222,45.0,3.0,18.0,2011.0
9996,11.0,0.0,1.0,10.0,39.19960278,-85.97754444,32.0,3.0,18.0,2011.0
9997,11.0,0.0,1.0,20.0,40.04108611,-85.52787778,1.0,3.0,18.0,2011.0
9998,4.0,0.0,1.0,16.0,39.75583333,-86.18791667,0.0,3.0,18.0,2011.0
9999,1.0,0.0,2.0,11.0,39.36419722,-85.84207778,40.0,3.0,18.0,2011.0
10000,11.0,1.0,1.0,2.0,39.84033611,-86.10294167,48.0,3.0,18.0,2011.0
10001,5.0,0.0,1.0,10.0,40.123,-85.55718333,6.0,1.0,18.0,2011.0
10002,10.0,0.0,1.0,10.0,39.961375,-86.12683611,44.0,2.0,18.0,2011.0
10003,21.0,1.0,1.0,8.0,41.43030833,-84.81445278,30.0,1.0,18.0,2011.0
10004,25.0,1.0,1.0,16.0,40.53333889,-86.72641667,33.0,2.0,18.0,2011.0
10005,23.0,0.0,1.0,17.0,40.09385,-86.47862222,20.0,2.0,18.0,2011.0
10006,14.0,0.0,1.0,15.0,40.09745833,-87.39969722,32.0,3.0,18.0,2011.0
10007,4.0,0.0,1.0,23.0,39.69434722,-86.01796944,22.0,3.0,18.0,2011.0
10008,11.0,1.0,1.0,7.0,38.74414167,-85.22946667,0.0,3.0,18.0,2011.0
