EVENT_ID,BEGIN_DATE_TIME,BEGIN_LAT,BEGIN_LON,DAMAGE_CROPS,DAMAGE_PROPERTY,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE_TIME,END_LAT,END_LON,EPISODE_ID,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,MAGNITUDE,RANGE,TOR_F_SCALE
305347,2011-04-19 23:00:00,38.5842,-86.2358,0,0,0,0,2011-04-19 23:01:00,38.5933,-86.2164,51175,Tornado,0,0,0.0,4.1520972,EF0
303380,2011-04-19 23:15:00,38.5,-86.02,0,0,0,0,2011-04-19 23:15:00,38.5,-86.02,51175,Thunderstorm Wind,0,0,52.0,1.6862761328,
303381,2011-04-19 23:15:00,38.2955,-85.8101,0,0,0,0,2011-04-19 23:15:00,38.2955,-85.8101,51175,Thunderstorm Wind,0,0,56.0,1.0138842,
305348,2011-04-19 23:07:00,38.6381,-86.0828,0,0,0,0,2011-04-19 23:08:00,38.6461,-86.0764,51175,Tornado,0,0,0.0,4.4900586,EF0
303375,2011-04-19 23:03:00,38.43,-86.4,0,0,0,0,2011-04-19 23:03:00,38.43,-86.4,51175,Thunderstorm Wind,0,0,52.0,1.6862761328,
303376,2011-04-19 23:09:00,38.21,-86.13,0,0,0,0,2011-04-19 23:09:00,38.21,-86.13,51175,Thunderstorm Wind,0,0,52.0,1.4162192,
305372,2011-04-19 23:04:00,38.2156,-86.2746,0,0,0,0,2011-04-19 23:09:00,38.2345,-86.163,51175,Thunderstorm Wind,0,0,61.0,4.2164708,
306476,2011-04-19 23:40:00,38.7962,-85.356,0,0,0,0,2011-04-19 23:42:00,38.8112,-85.317,51175,Tornado,0,0,0.0,3.4761744,EF1
305349,2011-04-19 23:19:00,38.6878,-85.7708,0,0,0,0,2011-04-19 23:25:00,38.7433,-85.6833,51175,Tornado,0,0,0.0,0.8690436,EF0
303378,2011-04-19 23:10:00,38.2,-86.35,0,0,0,0,2011-04-19 23:10:00,38.2,-86.35,51175,Thunderstorm Wind,0,0,52.0,1.6862761328,
303382,2011-04-19 23:17:00,38.6678,-85.7941,0,0,0,0,2011-04-19 23:17:00,38.6678,-85.7941,51175,Thunderstorm Wind,0,0,52.0,2.494477,
303383,2011-04-19 23:20:00,38.35,-85.94,0,0,0,0,2011-04-19 23:20:00,38.35,-85.94,51175,Thunderstorm Wind,0,0,52.0,0.8690436,
303384,2011-04-19 23:20:00,38.6879,-85.7985,0,0,0,0,2011-04-19 23:20:00,38.6879,-85.7985,51175,Thunderstorm Wind,0,0,52.0,2.6232242,
303387,2011-04-19 23:23:00,38.29,-85.82,0,0,0,0,2011-04-19 23:25:00,38.2936,-85.808,51175,Thunderstorm Wind,0,0,56.0,2.0760486,
303418,2011-04-19 23:26:00,38.28,-85.9,0,0,0,0,2011-04-19 23:26:00,38.28,-85.9,51175,Thunderstorm Wind,0,0,56.0,1.6862761328,
305350,2011-04-19 23:25:00,38.7433,-85.6833,0,0,0,0,2011-04-19 23:31:00,38.7964,-85.6019,51175,Tornado,0,0,0.0,6.9362554,EF0
