EVENT_ID,EPISODE_ID,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
527171,87359,Hail,2014-06-17 20:11:00,2014-06-17 20:12:00,0,0,0,0,0,0,0.88,41.7,-86.31,41.7,-86.31
529958,87816,Thunderstorm Wind,2014-06-30 22:22:00,2014-06-30 22:27:00,0,0,0,0,0,0,70.0,41.4765,-86.7383,41.4775,-86.6303
529494,87760,Hail,2014-06-23 16:43:00,2014-06-23 16:44:00,0,0,0,0,0,0,0.75,41.07,-85.19,41.07,-85.19
538287,87819,Thunderstorm Wind,2014-07-01 00:56:00,2014-07-01 00:57:00,0,0,0,0,0,0,60.0,41.53,-85.07,41.53,-85.07
538288,87819,Thunderstorm Wind,2014-07-01 00:00:00,2014-07-01 00:01:00,0,0,0,0,0,0,63.0,41.54,-86.02,41.54,-86.02
536933,88250,Thunderstorm Wind,2014-07-27 16:05:00,2014-07-27 16:05:00,0,0,0,0,2000,0,52.0,39.62,-86.37,39.62,-86.37
536955,88251,Thunderstorm Wind,2014-07-29 18:36:00,2014-07-29 18:36:00,0,0,0,0,5000,0,56.0,39.78,-86.2506,39.78,-86.2506
530841,87955,Thunderstorm Wind,2014-06-30 21:43:00,2014-06-30 21:43:00,0,0,0,0,0,0,65.0,41.4183,-87.3731,41.4153,-87.3564
530842,87955,Thunderstorm Wind,2014-06-30 21:38:00,2014-06-30 21:46:00,0,0,0,0,5000,25000,96.0,41.28,-87.42,41.26,-87.35
529718,87366,Thunderstorm Wind,2014-06-18 12:56:00,2014-06-18 12:57:00,0,0,0,0,0,0,50.0,41.53,-86.43,41.53,-86.43
529719,87366,Thunderstorm Wind,2014-06-18 13:10:00,2014-06-18 13:11:00,0,0,0,0,0,0,50.0,41.66,-86.16,41.66,-86.16
529723,87366,Thunderstorm Wind,2014-06-18 13:23:00,2014-06-18 13:24:00,0,0,0,0,0,0,55.0,41.66,-86.16,41.66,-86.16
529378,87382,Flash Flood,2014-07-07 19:00:00,2014-07-07 20:00:00,0,0,0,0,5000,0,0.0,38.8159,-85.0404,38.7488,-85.0613
532376,88245,Thunderstorm Wind,2014-07-01 01:30:00,2014-07-01 01:30:00,0,0,0,0,3000,0,61.0,39.8552,-86.0868,39.8552,-86.0868
536833,88245,Thunderstorm Wind,2014-07-01 01:35:00,2014-07-01 01:35:00,0,0,0,0,5000,0,61.0,39.6306,-86.1249,39.6306,-86.1249
536834,88245,Thunderstorm Wind,2014-07-01 01:35:00,2014-07-01 01:35:00,0,0,0,0,1000,0,56.0,39.6787,-86.1486,39.6787,-86.1486
536836,88245,Thunderstorm Wind,2014-07-01 01:35:00,2014-07-01 01:35:00,0,0,0,0,1000,0,56.0,39.6343,-86.1248,39.6343,-86.1248
533731,88497,Hail,2014-07-27 14:37:00,2014-07-27 14:40:00,0,0,0,0,0,0,1.0,41.3583,-85.7,41.3583,-85.7
533732,88497,Hail,2014-07-27 14:50:00,2014-07-27 14:51:00,0,0,0,0,0,0,1.25,41.68,-86.25,41.68,-86.25
533733,88497,Hail,2014-07-27 14:55:00,2014-07-27 14:56:00,0,0,0,0,0,0,1.0,41.45,-85.84,41.45,-85.84
533734,88497,Hail,2014-07-27 15:00:00,2014-07-27 15:01:00,0,0,0,0,0,0,0.75,41.4,-85.42,41.4,-85.42
530109,87372,Thunderstorm Wind,2014-06-18 16:15:00,2014-06-18 16:15:00,0,0,0,0,1000,0,52.0,39.6874,-86.3247,39.6874,-86.3247
530132,87372,Thunderstorm Wind,2014-06-18 17:17:00,2014-06-18 17:17:00,0,0,0,0,1500,0,52.0,39.6693,-85.7473,39.6693,-85.7473
530143,87372,Thunderstorm Wind,2014-06-18 17:17:00,2014-06-18 17:17:00,0,0,0,0,4000,0,52.0,39.64,-85.9,39.64,-85.9
530157,87372,Thunderstorm Wind,2014-06-18 17:00:00,2014-06-18 17:00:00,0,0,0,0,2500,0,43.0,40.0,-86.15,40.0,-86.15
530161,87372,Thunderstorm Wind,2014-06-18 17:30:00,2014-06-18 17:30:00,0,0,0,0,5000,0,56.0,39.69,-85.54,39.69,-85.54
